ID,Up_Control,Up_Exp,Down_Control,Down_Exp,,,Whatson's test,t,p
P10,16.31329812,19.76731943,-150.7397428,-162.4761754,,,Up Control vs Exp,0.0166,>0.1
P11,12.22380765,20.2503327,-153.7944566,-146.4137748,,,Down Cont vs Exp,0.0372,>0.1
P12,25.50710361,1.55230296,-135.0852748,-148.1951397,,,Control Up vs Down,0.7546,<0.001
P14,13.06217672,11.16479867,-145.5297963,-148.8983902,,,Exp Up vs Cont,0.7546,<0.001
P15,19.17871414,24.67809541,-136.5741548,-150.139932,,,,,
P16,23.19015181,23.33968084,-141.126814,-153.0845268,,,,,
P17,-55.10310178,-52.77701885,139.3337377,142.5794875,,,,,
P19,20.14599557,12.96324394,-153.4263768,-144.1406955,,,,,
P22,-54.26163925,-49.80768338,153.0168502,141.9057248,,,,,
P23,10.66228131,10.91052618,-151.6539903,-136.5778169,,,,,
P26,10.46693762,18.50827393,-156.3080017,-149.2029076,,,,,
P27,17.10501456,17.38732189,-149.8445004,-148.573245,,,,,
P28,-51.50292006,-65.58247319,158.1148679,177.2137678,,,,,
P29,12.22502324,25.76580005,-148.3089451,-156.4283961,,,,,
P2,-69.4670522,-55.22125583,-106.4893273,-127.3517364,,,,,
P5,15.52992069,13.57392787,-143.9117371,-152.8919727,,,,,
P6,27.54846919,12.97114931,-142.6259356,-143.6399898,,,,,
P8,-52.25065016,-55.51736505,-100.2805136,-106.0362993,,,,,
