ID,Up_Control,Up_Exp,Down_Control,Down_Exp,,,Whatson's test,t,p
P10,3.930071108,12.57514104,-146.790498,-153.2415593,,,Up Control vs Exp,0.0804,>0.1
P11,10.9374578,20.71891175,-154.5219568,-150.6155944,,,Down Cont vs Exp,0.0532,>0.1
P12,18.13437775,-4.733581881,-133.2237663,-144.7494101,,,Control Up vs Down,0.7546,<0.001
P14,10.92440743,1.329093776,-141.1741021,-148.137693,,,Exp Up vs Cont,0.7546,<0.001
P15,-4.218069604,-21.89131991,-146.8444113,-140.4458375,,,,,
P16,20.87764584,25.24619844,-142.4262386,-153.3721004,,,,,
P17,-56.37586867,-57.53664852,137.1957782,137.916891,,,,,
P19,-6.054444976,-15.46666584,-157.2556856,-144.0038181,,,,,
P22,-61.29857451,-53.700322,156.4018017,146.9971439,,,,,
P23,9.587654944,2.954654783,-154.1832927,-130.2789147,,,,,
P26,12.88699124,19.63998899,-153.4559631,-148.1637116,,,,,
P27,8.560338268,13.68120358,-147.6819195,-151.1575805,,,,,
P28,-62.66466193,-59.65691733,156.8249556,167.6869395,,,,,
P29,17.29528904,22.00631562,-148.8232631,-154.5923193,,,,,
P2,-60.13274589,-40.83553186,-106.4422678,-147.9356395,,,,,
P5,11.59731713,2.751148528,-144.41529,-157.2320708,,,,,
P6,21.92839151,17.86718508,-143.8522494,-145.2376108,,,,,
P8,-53.66036604,-54.67767329,-88.69227484,-104.9105453,,,,,
