Cond,PhaseFz,PhaseF3,PhaseF4,Phase2Fz,Phase2F3,Phase2F4,Participant,
Up_Con,-37.43947983,-45.6281929,-34.29656601,52.56052017,44.3718071,55.70343399,P10,
Up_Con,47.88393784,75.0333786,66.50852966,312.1160622,284.9666214,293.4914703,P10,
Up_Con,48.76184845,28.03656006,107.5417862,311.2381516,331.9634399,252.4582138,P10,
Up_Con,-68.60266113,-82.14076233,51.63105774,21.39733887,7.859237671,308.3689423,P10,
Up_Con,-115.3572464,-105.2589798,-77.8033905,-25.3572464,-15.2589798,12.1966095,P10,
Up_Con,-13.50293446,-6.719664097,-23.90858841,76.49706554,83.2803359,66.09141159,P10,
Up_Exp,-47.79404831,-44.81319046,-137.7934875,42.20595169,45.18680954,-47.79348755,P10,
Up_Exp,-61.83696365,-53.12034607,-55.08463287,28.16303635,36.87965393,34.91536713,P10,
Up_Exp,47.73789215,43.62218857,66.72912598,312.2621078,316.3778114,293.270874,P10,
Up_Exp,45.38873672,36.54101944,31.52131271,314.6112633,323.4589806,328.4786873,P10,
Up_Exp,8.304758072,10.78704739,-11.09528637,351.6952419,349.2129526,78.90471363,P10,
Up_Exp,-11.63082981,-12.37495327,-29.48374557,78.36917019,77.62504673,60.51625443,P10,
Down_Exp,46.68046188,136.0487366,-140.1079407,136.6804619,226.0487366,219.8920593,P10,
Down_Exp,-177.6555634,-159.1277466,-51.21713257,182.3444366,200.8722534,308.7828674,P10,
Down_Exp,-107.2067719,-102.8546677,-104.4740753,252.7932281,257.1453323,255.5259247,P10,
Down_Exp,53.17116547,8.610671043,177.6144257,143.1711655,98.61067104,267.6144257,P10,
Down_Exp,67.17689514,71.37286377,86.7792511,157.1768951,161.3728638,176.7792511,P10,
Down_Exp,-121.2126236,-104.5791931,-137.3882446,238.7873764,255.4208069,222.6117554,P10,
Down_Con,-122.5639191,-129.9130707,-118.4960556,237.4360809,230.0869293,241.5039444,P10,
Down_Con,151.5729675,137.3148041,156.3566895,241.5729675,227.3148041,246.3566895,P10,
Down_Con,85.87042236,81.52545929,96.99632263,175.8704224,171.5254593,186.9963226,P10,
Down_Con,77.5242691,72.59846497,68.8055191,167.5242691,162.598465,158.8055191,P10,
Down_Con,-108.9976578,-108.4957504,-108.0129318,251.0023422,251.5042496,251.9870682,P10,
Down_Con,-149.6679535,-178.0249634,177.5943604,210.3320465,181.9750366,267.5943604,P10,
Up_Con,83.61083221,79.59177399,88.65913391,276.3891678,280.408226,271.3408661,P10,
