ID,acc,RT,RT_hits,RT_fails,Pair,category,condition,session,PairType,Distance,Block
Participant_2,1,1.64322709265548,1.64322709265548,0,AF,F,D,3,Anchor,3,1
Participant_2,0.5,4.65202594523589,6.26740988956863,3.03664200090316,AF,S,U,3,Anchor,3,1
Participant_2,1,0.902118826717128,0.902118826717128,0,AF,O,C,3,Anchor,3,1
Participant_2,0,1.49755762757104,0,1.49755762757104,AF,F,D,3,Anchor,3,2
Participant_2,0.5,3.35008851964358,2.72530532862584,3.97487171066132,AF,S,U,3,Anchor,3,2
Participant_2,0.5,0.802759503674224,0.841953179522989,0.76356582782546,AF,O,C,3,Anchor,3,2
Participant_2,0,0.795229689231746,0,0.795229689231746,AF,F,D,3,Anchor,3,3
Participant_2,0.5,3.22727713576091,4.43456063467283,2.01999363684899,AF,S,U,3,Anchor,3,3
Participant_2,1,0.781166098772701,0.781166098772701,0,AF,O,C,3,Anchor,3,3
Participant_2,0.5,1.23498475922634,1.64155189047142,0.828417627981253,AF,F,D,3,Anchor,3,4
Participant_2,0,2.79170814688609,0,2.79170814688609,AF,S,U,3,Anchor,3,4
Participant_2,1,0.701895346689071,0.701895346689071,0,AF,O,C,3,Anchor,3,4
Participant_3,1,3.14457723748637,3.14457723748637,0,AF,O,D,3,Anchor,3,1
Participant_3,0.5,3.67587454393288,3.62249054512358,3.72925854274217,AF,F,U,3,Anchor,3,1
Participant_3,1,1.85563931380602,1.85563931380602,0,AF,S,C,3,Anchor,3,1
Participant_3,1,2.34333129781953,2.34333129781953,0,AF,O,D,3,Anchor,3,2
Participant_3,1,1.4774193962221,1.4774193962221,0,AF,F,U,3,Anchor,3,2
Participant_3,1,1.13143585822399,1.13143585822399,0,AF,S,C,3,Anchor,3,2
Participant_3,1,2.06928538073771,2.06928538073771,0,AF,O,D,3,Anchor,3,3
Participant_3,0.5,4.1451519707698,3.6688545873476,4.62144935419201,AF,F,U,3,Anchor,3,3
Participant_3,1,1.8574063620872,1.8574063620872,0,AF,S,C,3,Anchor,3,3
Participant_3,1,1.32662580244505,1.32662580244505,0,AF,O,D,3,Anchor,3,4
Participant_3,1,4.83442498447403,4.83442498447403,0,AF,F,U,3,Anchor,3,4
Participant_3,1,1.13713084932533,1.13713084932533,0,AF,S,C,3,Anchor,3,4
Participant_5,0.5,1.54947504272059,1.36191776182386,1.73703232361731,AF,S,D,3,Anchor,3,1
Participant_5,0,1.10840444802307,0,1.10840444802307,AF,F,U,3,Anchor,3,1
Participant_5,0.5,1.95860560467554,1.9551631062277,1.96204810312338,AF,O,C,3,Anchor,3,1
Participant_5,0.5,0.651962560230459,0.650140347817796,0.653784772643121,AF,S,D,3,Anchor,3,2
Participant_5,0,1.07272993179868,0,1.07272993179868,AF,F,U,3,Anchor,3,2
Participant_5,0.5,0.91764200273974,0.964996690148837,0.870287315330643,AF,O,C,3,Anchor,3,2
Participant_5,0.5,0.586637707634509,0.501514319577836,0.671761095691181,AF,S,D,3,Anchor,3,3
Participant_5,0,0.962588198468438,0,0.962588198468438,AF,F,U,3,Anchor,3,3
Participant_5,0.5,0.662051182051073,0.702244538748346,0.6218578253538,AF,O,C,3,Anchor,3,3
Participant_5,0.5,0.531902315869957,0.575464020163054,0.488340611576859,AF,S,D,3,Anchor,3,4
Participant_5,0,1.0643388257995,0,1.0643388257995,AF,F,U,3,Anchor,3,4
Participant_5,0.5,0.733556470109761,0.806477552046999,0.660635388172523,AF,O,C,3,Anchor,3,4
Participant_6,1,1.44571247200622,1.44571247200622,0,AF,S,D,3,Anchor,3,1
Participant_6,0.5,0.944121885282698,0.676774508737253,1.21146926182814,AF,O,U,3,Anchor,3,1
Participant_6,1,1.02188230633283,1.02188230633283,0,AF,F,C,3,Anchor,3,1
Participant_6,1,0.605649187232984,0.605649187232984,0,AF,S,D,3,Anchor,3,2
Participant_6,1,0.872791293673799,0.872791293673799,0,AF,O,U,3,Anchor,3,2
Participant_6,1,0.925434608129081,0.925434608129081,0,AF,F,C,3,Anchor,3,2
Participant_6,1,0.594886619057661,0.594886619057661,0,AF,S,D,3,Anchor,3,3
Participant_6,0.5,0.468863860761303,0.498950043414879,0.438777678107726,AF,O,U,3,Anchor,3,3
Participant_6,1,0.843032003661847,0.843032003661847,0,AF,F,C,3,Anchor,3,3
Participant_6,1,0.54711231148508,0.54711231148508,0,AF,S,D,3,Anchor,3,4
Participant_6,0.5,0.57537749172252,0.688880313160098,0.461874670284942,AF,O,U,3,Anchor,3,4
Participant_6,1,1.32606694268657,1.32606694268657,0,AF,F,C,3,Anchor,3,4
Participant_8,1,2.09123245001854,2.09123245001854,0,AF,F,D,3,Anchor,3,1
Participant_8,1,1.43628561312039,1.43628561312039,0,AF,S,U,3,Anchor,3,1
Participant_8,1,1.56402484707917,1.56402484707917,0,AF,O,C,3,Anchor,3,1
Participant_8,1,1.06551582577276,1.06551582577276,0,AF,F,D,3,Anchor,3,2
Participant_8,1,1.09805795599141,1.09805795599141,0,AF,S,U,3,Anchor,3,2
Participant_8,1,1.66499317500711,1.66499317500711,0,AF,O,C,3,Anchor,3,2
Participant_8,1,1.06869971057927,1.06869971057927,0,AF,F,D,3,Anchor,3,3
Participant_8,1,1.38005613941459,1.38005613941459,0,AF,S,U,3,Anchor,3,3
Participant_8,1,0.924262079724258,0.924262079724258,0,AF,O,C,3,Anchor,3,3
Participant_8,1,0.886390553799401,0.886390553799401,0,AF,F,D,3,Anchor,3,4
Participant_8,1,0.810440956114689,0.810440956114689,0,AF,S,U,3,Anchor,3,4
Participant_8,1,1.07061430066915,1.07061430066915,0,AF,O,C,3,Anchor,3,4
Participant_10,0.5,0.930422734690069,1.08347906852623,0.777366400853907,AF,O,D,3,Anchor,3,1
Participant_10,0.5,0.848653488921059,0.800248878762659,0.897058099079459,AF,S,U,3,Anchor,3,1
Participant_10,0.5,2.13446919548016,0.915116434208812,3.35382195675152,AF,F,C,3,Anchor,3,1
Participant_10,0.5,0.780453267239295,0.877330480207775,0.683576054270816,AF,O,D,3,Anchor,3,2
Participant_10,1,0.655093291049525,0.655093291049525,0,AF,S,U,3,Anchor,3,2
Participant_10,0.5,1.02338280119454,0.96862331557827,1.07814228681082,AF,F,C,3,Anchor,3,2
Participant_10,0,0.874164844976804,0,0.874164844976804,AF,O,D,3,Anchor,3,3
Participant_10,1,0.784540523620308,0.784540523620308,0,AF,S,U,3,Anchor,3,3
Participant_10,0.5,1.97440474357813,0.468615105145091,3.48019438201118,AF,F,C,3,Anchor,3,3
Participant_10,0.5,0.60260809548754,0.728668267701323,0.476547923273756,AF,O,D,3,Anchor,3,4
Participant_10,1,0.740481798495466,0.740481798495466,0,AF,S,U,3,Anchor,3,4
Participant_10,0,1.27054122150707,0,1.27054122150707,AF,F,C,3,Anchor,3,4
Participant_11,1,1.85026222206261,1.85026222206261,0,AF,S,D,3,Anchor,3,1
Participant_11,1,1.34934598430777,1.34934598430777,0,AF,F,U,3,Anchor,3,1
Participant_11,1,1.18947981505903,1.18947981505903,0,AF,O,C,3,Anchor,3,1
Participant_11,1,0.769008277185776,0.769008277185776,0,AF,S,D,3,Anchor,3,2
Participant_11,1,1.13365217346677,1.13365217346677,0,AF,F,U,3,Anchor,3,2
Participant_11,1,0.841162962544786,0.841162962544786,0,AF,O,C,3,Anchor,3,2
Participant_11,1,1.02280433923625,1.02280433923625,0,AF,S,D,3,Anchor,3,3
Participant_11,1,0.889425164081104,0.889425164081104,0,AF,F,U,3,Anchor,3,3
Participant_11,1,0.919696161089632,0.919696161089632,0,AF,O,C,3,Anchor,3,3
Participant_11,1,0.897504528590389,0.897504528590389,0,AF,S,D,3,Anchor,3,4
Participant_11,1,1.08962324180357,1.08962324180357,0,AF,F,U,3,Anchor,3,4
Participant_11,1,1.03463666079961,1.03463666079961,0,AF,O,C,3,Anchor,3,4
Participant_12,1,2.6509888592966,2.6509888592966,0,AF,S,D,3,Anchor,3,1
Participant_12,1,1.54319062354057,1.54319062354057,0,AF,O,U,3,Anchor,3,1
Participant_12,1,1.86718239245442,1.86718239245442,0,AF,F,C,3,Anchor,3,1
Participant_12,1,1.65514494203853,1.65514494203853,0,AF,S,D,3,Anchor,3,2
Participant_12,1,1.16323131712784,1.16323131712784,0,AF,O,U,3,Anchor,3,2
Participant_12,1,0.901238255050657,0.901238255050657,0,AF,F,C,3,Anchor,3,2
Participant_12,1,1.10342970477905,1.10342970477905,0,AF,S,D,3,Anchor,3,3
Participant_12,1,0.888628631248366,0.888628631248366,0,AF,O,U,3,Anchor,3,3
Participant_12,1,0.910442805753519,0.910442805753519,0,AF,F,C,3,Anchor,3,3
Participant_12,1,1.60389154876816,1.60389154876816,0,AF,S,D,3,Anchor,3,4
Participant_12,1,0.96604394702149,0.96604394702149,0,AF,O,U,3,Anchor,3,4
Participant_12,1,0.715882814785118,0.715882814785118,0,AF,F,C,3,Anchor,3,4
Participant_14,1,2.05386456820588,2.05386456820588,0,AF,F,D,3,Anchor,3,1
Participant_14,0.5,3.15135421530931,2.03473236415539,4.26797606646323,AF,S,U,3,Anchor,3,1
Participant_14,0,2.45337732779853,0,2.45337732779853,AF,O,C,3,Anchor,3,1
Participant_14,1,2.17341832886041,2.17341832886041,0,AF,F,D,3,Anchor,3,2
Participant_14,0.5,3.28493685631111,1.32182293083133,5.24805078179088,AF,S,U,3,Anchor,3,2
Participant_14,0,1.43752212979734,0,1.43752212979734,AF,O,C,3,Anchor,3,2
Participant_14,1,1.73105484084499,1.73105484084499,0,AF,F,D,3,Anchor,3,3
Participant_14,0,1.83174272474889,0,1.83174272474889,AF,S,U,3,Anchor,3,3
Participant_14,0,1.72816654949611,0,1.72816654949611,AF,O,C,3,Anchor,3,3
Participant_14,1,1.75282517331834,1.75282517331834,0,AF,F,D,3,Anchor,3,4
Participant_14,0,3.5808693354129,0,3.5808693354129,AF,S,U,3,Anchor,3,4
Participant_14,0,1.6835413320473,0,1.6835413320473,AF,O,C,3,Anchor,3,4
Participant_15,1,0.954041585845289,0.954041585845289,0,AF,O,D,3,Anchor,3,1
Participant_15,1,2.36513311165163,2.36513311165163,0,AF,F,U,3,Anchor,3,1
Participant_15,0.5,0.875742274495224,1.00812473700944,0.743359811981009,AF,S,C,3,Anchor,3,1
Participant_15,0.5,0.0537129119327346,0.10041257427838,0.00701324958708938,AF,O,D,3,Anchor,3,2
Participant_15,0.5,0.0555253651077692,0.00333548857179267,0.107715241643746,AF,F,U,3,Anchor,3,2
Participant_15,0,0.267165450496123,0,0.267165450496123,AF,S,C,3,Anchor,3,2
Participant_15,0.5,1.27907750649138,1.99313248560611,0.565022527376641,AF,O,D,3,Anchor,3,3
Participant_15,0,0.0784070732884175,0,0.0784070732884175,AF,F,U,3,Anchor,3,3
Participant_15,0.5,0.230022219485818,0.0252783850082778,0.434766053963358,AF,S,C,3,Anchor,3,3
Participant_15,0.5,0.217460769523314,0.431482906904421,0.00343863214220619,AF,O,D,3,Anchor,3,4
Participant_15,0.5,0.173254000020734,0.0716683600685428,0.274839639972924,AF,F,U,3,Anchor,3,4
Participant_15,0.5,0.142816897071498,0.212647659513095,0.0729861346299003,AF,S,C,3,Anchor,3,4
Participant_16,1,0.787756128350225,0.787756128350225,0,AF,O,D,3,Anchor,3,1
Participant_16,1,1.30457195198926,1.30457195198926,0,AF,S,U,3,Anchor,3,1
Participant_16,1,0.863506745418761,0.863506745418761,0,AF,F,C,3,Anchor,3,1
Participant_16,1,0.70177423244877,0.70177423244877,0,AF,O,D,3,Anchor,3,2
Participant_16,1,1.62776705854583,1.62776705854583,0,AF,S,U,3,Anchor,3,2
Participant_16,1,0.621110158924012,0.621110158924012,0,AF,F,C,3,Anchor,3,2
Participant_16,1,0.665771810358592,0.665771810358592,0,AF,O,D,3,Anchor,3,3
Participant_16,1,1.98128011576762,1.98128011576762,0,AF,S,U,3,Anchor,3,3
Participant_16,1,0.670824844898902,0.670824844898902,0,AF,F,C,3,Anchor,3,3
Participant_16,1,0.762399614107608,0.762399614107608,0,AF,O,D,3,Anchor,3,4
Participant_16,1,1.18400317129635,1.18400317129635,0,AF,S,U,3,Anchor,3,4
Participant_16,1,0.632161202424186,0.632161202424186,0,AF,F,C,3,Anchor,3,4
Participant_17,0.5,2.36097880136094,3.28197987386557,1.43997772885632,AF,S,U,3,Anchor,3,1
Participant_17,1,0.962097233554687,0.962097233554687,0,AF,F,D,3,Anchor,3,1
Participant_17,0,1.43035392644379,0,1.43035392644379,AF,O,C,3,Anchor,3,1
Participant_17,0,1.43622345038466,0,1.43622345038466,AF,S,U,3,Anchor,3,2
Participant_17,1,0.756780896079817,0.756780896079817,0,AF,F,D,3,Anchor,3,2
Participant_17,0.5,0.962715334760105,0.783728723104105,1.14170194641611,AF,O,C,3,Anchor,3,2
Participant_17,0,1.52628046245991,0,1.52628046245991,AF,S,U,3,Anchor,3,3
Participant_17,0.5,0.750771536041611,0.814977087406078,0.686565984677145,AF,F,D,3,Anchor,3,3
Participant_17,0.5,0.794433753611429,0.819006419631478,0.76986108759138,AF,O,C,3,Anchor,3,3
Participant_17,0,1.04153953127934,0,1.04153953127934,AF,S,U,3,Anchor,3,4
Participant_17,1,0.951604394702372,0.951604394702372,0,AF,F,D,3,Anchor,3,4
Participant_17,1,0.647215080746264,0.647215080746264,0,AF,O,C,3,Anchor,3,4
Participant_19,0.5,6.41137247657457,2.01244547759052,10.8102994755586,AF,F,U,3,Anchor,3,1
Participant_19,0.5,1.60212932458921,1.39417726325701,1.81008138592142,AF,O,D,3,Anchor,3,1
Participant_19,0.5,3.30049159970031,4.21953672629479,2.38144647310583,AF,S,C,3,Anchor,3,1
Participant_19,0.5,2.09818036269598,2.78948346110838,1.40687726428359,AF,F,U,3,Anchor,3,2
Participant_19,0,1.85343657953354,0,1.85343657953354,AF,O,D,3,Anchor,3,2
Participant_19,1,2.01270025760209,2.01270025760209,0,AF,S,C,3,Anchor,3,2
Participant_19,1,1.2768594065908,1.2768594065908,0,AF,F,U,3,Anchor,3,3
Participant_19,0,1.7500207826597,0,1.7500207826597,AF,O,D,3,Anchor,3,3
Participant_19,1,1.29879280971295,1.29879280971295,0,AF,S,C,3,Anchor,3,3
Participant_19,0.5,0.872144821782285,0.831942691174845,0.912346952389726,AF,F,U,3,Anchor,3,4
Participant_19,0,2.62712342333998,0,2.62712342333998,AF,O,D,3,Anchor,3,4
Participant_19,1,1.93769974445036,1.93769974445036,0,AF,S,C,3,Anchor,3,4
Participant_21,1,0.906963288725819,0.906963288725819,0,AF,O,U,3,Anchor,3,1
Participant_21,1,0.782253735789709,0.782253735789709,0,AF,F,D,3,Anchor,3,1
Participant_21,0.5,0.778963883982215,0.81663861405832,0.741289153906109,AF,S,C,3,Anchor,3,1
Participant_21,1,0.869431216386147,0.869431216386147,0,AF,O,U,3,Anchor,3,2
Participant_21,1,0.889834352805337,0.889834352805337,0,AF,F,D,3,Anchor,3,2
Participant_21,0.5,1.01267344718144,1.39374666447111,0.631600229891774,AF,S,C,3,Anchor,3,2
Participant_21,1,0.858525083131099,0.858525083131099,0,AF,O,U,3,Anchor,3,3
Participant_21,0.5,0.896030727861216,0.718977585282119,1.07308387044031,AF,F,D,3,Anchor,3,3
Participant_21,1,0.799941500063142,0.799941500063142,0,AF,S,C,3,Anchor,3,3
Participant_21,1,0.960126647234574,0.960126647234574,0,AF,O,U,3,Anchor,3,4
Participant_21,1,0.689953918466927,0.689953918466927,0,AF,F,D,3,Anchor,3,4
Participant_21,0.5,0.753677542183141,0.573905948520405,0.933449135845876,AF,S,C,3,Anchor,3,4
Participant_22,0.5,4.60767199839938,4.39301435308516,4.8223296437136,AF,O,U,3,Anchor,3,1
Participant_22,1,1.92551226195792,1.92551226195792,0,AF,S,D,3,Anchor,3,1
Participant_22,1,2.99813492002431,2.99813492002431,0,AF,F,C,3,Anchor,3,1
Participant_22,1,1.10427539243938,1.10427539243938,0,AF,O,U,3,Anchor,3,2
Participant_22,1,1.69167705815562,1.69167705815562,0,AF,S,D,3,Anchor,3,2
Participant_22,1,1.8915703208786,1.8915703208786,0,AF,F,C,3,Anchor,3,2
Participant_22,1,1.58409537591433,1.58409537591433,0,AF,O,U,3,Anchor,3,3
Participant_22,1,1.48680742645138,1.48680742645138,0,AF,S,D,3,Anchor,3,3
Participant_22,1,1.23941273971104,1.23941273971104,0,AF,F,C,3,Anchor,3,3
Participant_22,1,0.985182761929536,0.985182761929536,0,AF,O,U,3,Anchor,3,4
Participant_22,1,1.27082685468849,1.27082685468849,0,AF,S,D,3,Anchor,3,4
Participant_22,1,1.27931554720726,1.27931554720726,0,AF,F,C,3,Anchor,3,4
Participant_23,1,1.5660245390589,1.5660245390589,0,AF,S,U,3,Anchor,3,1
Participant_23,1,1.8233251912784,1.8233251912784,0,AF,F,D,3,Anchor,3,1
Participant_23,1,1.19240248777407,1.19240248777407,0,AF,O,C,3,Anchor,3,1
Participant_23,1,1.22686441939118,1.22686441939118,0,AF,S,U,3,Anchor,3,2
Participant_23,1,1.63515007209821,1.63515007209821,0,AF,F,D,3,Anchor,3,2
Participant_23,1,0.803779897676918,0.803779897676918,0,AF,O,C,3,Anchor,3,2
