ID,acc,RT,RT_fails,RT_hits,Pair,category,condition,session,PairType,Distance,Block
Participant_2,0.5,3.09060849886851,2.24470090777072,3.93651608996629,BD,F,D,2,Inference,1,1
Participant_2,1,3.34467037506477,0,3.34467037506477,CE,F,D,2,Inference,1,1
Participant_2,0.5,1.72078943722329,1.38221970206246,2.05935917238412,BE,F,D,2,Inference,2,1
Participant_2,0.5,4.11577873794727,4.70047107603409,3.53108639986044,BD,S,U,2,Inference,1,1
Participant_2,0.5,3.99093614815808,3.8196876940367,4.16218460227947,CE,S,U,2,Inference,1,1
Participant_2,1,4.9981636758298,0,4.9981636758298,BE,S,U,2,Inference,2,1
Participant_2,0,3.89782140163084,3.89782140163084,0,BD,O,C,2,Inference,1,1
Participant_2,0,3.18884247689516,3.18884247689516,0,CE,O,C,2,Inference,1,1
Participant_2,1,3.03097145320282,0,3.03097145320282,BE,O,C,2,Inference,2,1
Participant_2,0.5,1.79172512354194,2.27547890164351,1.30797134544036,BD,F,D,2,Inference,1,2
Participant_2,0,0.965298938283013,0.965298938283013,0,CE,F,D,2,Inference,1,2
Participant_2,0.5,1.93625335474917,2.59360147378038,1.27890523571796,BE,F,D,2,Inference,2,2
Participant_2,0,4.78975050417421,4.78975050417421,0,BD,S,U,2,Inference,1,2
Participant_2,0,4.27067012875045,4.27067012875045,0,CE,S,U,2,Inference,1,2
Participant_2,0.5,2.31299769593511,2.97033144663419,1.65566394523603,BE,S,U,2,Inference,2,2
Participant_2,0,2.25157461526214,2.25157461526214,0,BD,O,C,2,Inference,1,2
Participant_2,0,2.23557778655845,2.23557778655845,0,CE,O,C,2,Inference,1,2
Participant_2,0.5,3.8162043997886,4.09948222688627,3.53292657269094,BE,O,C,2,Inference,2,2
Participant_2,1,1.1124142390172,0,1.1124142390172,BD,F,D,2,Inference,1,3
Participant_2,0.5,1.11716220307608,1.20670077435079,1.02762363180136,CE,F,D,2,Inference,1,3
Participant_2,1,1.51150877751138,0,1.51150877751138,BE,F,D,2,Inference,2,3
Participant_2,0.5,2.66349519943765,1.95299861961394,3.37399177926136,BD,S,U,2,Inference,1,3
Participant_2,0.5,1.13600190893567,1.09850671976119,1.17349709811015,CE,S,U,2,Inference,1,3
Participant_2,1,3.55520903357547,0,3.55520903357547,BE,S,U,2,Inference,2,3
Participant_2,0,2.27881569021861,2.27881569021861,0,BD,O,C,2,Inference,1,3
Participant_2,0.5,1.86117522694281,1.85851503286767,1.86383542101794,CE,O,C,2,Inference,1,3
Participant_2,1,2.05383172630377,0,2.05383172630377,BE,O,C,2,Inference,2,3
Participant_2,0.5,0.590097653343491,0.782453700615406,0.397741606071577,BD,F,D,2,Inference,1,4
Participant_2,1,1.05516669831127,0,1.05516669831127,CE,F,D,2,Inference,1,4
Participant_2,1,1.03503871752378,0,1.03503871752378,BE,F,D,2,Inference,2,4
Participant_2,0,2.2464212589739,2.2464212589739,0,BD,S,U,2,Inference,1,4
Participant_2,0,1.8155460222813,1.8155460222813,0,CE,S,U,2,Inference,1,4
Participant_2,0,2.82338523038084,2.82338523038084,0,BE,S,U,2,Inference,2,4
Participant_2,0,2.46354420571333,2.46354420571333,0,BD,O,C,2,Inference,1,4
Participant_2,0,1.14770953390143,1.14770953390143,0,CE,O,C,2,Inference,1,4
Participant_2,1,2.0860819610723,0,2.0860819610723,BE,O,C,2,Inference,2,4
Participant_3,1,2.67151926448344,0,2.67151926448344,BD,O,D,2,Inference,1,1
Participant_3,1,1.20779176617964,0,1.20779176617964,CE,O,D,2,Inference,1,1
Participant_3,1,1.44528392677557,0,1.44528392677557,BE,O,D,2,Inference,2,1
Participant_3,0,4.21482292971564,4.21482292971564,0,BD,F,U,2,Inference,1,1
Participant_3,0,7.1117747448485,7.1117747448485,0,CE,F,U,2,Inference,1,1
Participant_3,0,3.2730223449081,3.2730223449081,0,BE,F,U,2,Inference,2,1
Participant_3,0.5,4.82420583428097,2.43432143240943,7.21409023615251,BD,S,C,2,Inference,1,1
Participant_3,1,3.46721725615237,0,3.46721725615237,CE,S,C,2,Inference,1,1
Participant_3,1,3.85464245099467,0,3.85464245099467,BE,S,C,2,Inference,2,1
Participant_3,1,2.90902457763445,0,2.90902457763445,BD,O,D,2,Inference,1,2
Participant_3,1,2.0780254485901,0,2.0780254485901,CE,O,D,2,Inference,1,2
