ID,acc,Confidence,RT,RT_fails,RT_hits,Pair,category,condition,session,PairType,Distance,Block
Participant_2,0,-2,2.12735089006685,2.12735089006685,0,AB,F,D,2,Premise,0,1
Participant_2,1,2,1.56723378815957,0,1.56723378815957,BC,F,D,2,Premise,0,1
Participant_2,1,-1.5,3.42833691686371,0,3.42833691686371,CD,F,D,2,Premise,0,1
Participant_2,0.5,-2,1.6825229765027,1.86140101501996,1.50364493798543,DE,F,D,2,Premise,0,1
Participant_2,0.5,-1,3.20200027710359,3.33430901151019,3.069691542697,EF,F,D,2,Premise,0,1
Participant_2,0.5,-2,3.09060849886851,2.24470090777072,3.93651608996629,BD,F,D,2,Inference,1,1
Participant_2,1,-1.5,3.34467037506477,0,3.34467037506477,CE,F,D,2,Inference,1,1
Participant_2,0.5,-0.5,1.72078943722329,1.38221970206246,2.05935917238412,BE,F,D,2,Inference,2,1
Participant_2,0.5,-2,1.63238699050146,1.49663267871892,1.76814130228399,AF,F,D,2,Anchor,3,1
Participant_2,0,0,4.57759540829147,4.57759540829147,0,AB,S,U,2,Premise,0,1
Participant_2,1,1,3.32904327433778,0,3.32904327433778,BC,S,U,2,Premise,0,1
Participant_2,0,1,4.70923037054899,4.70923037054899,0,CD,S,U,2,Premise,0,1
Participant_2,1,2,3.73126728689954,0,3.73126728689954,DE,S,U,2,Premise,0,1
Participant_2,0,1.5,2.80641776952166,2.80641776952166,0,EF,S,U,2,Premise,0,1
Participant_2,0.5,1,4.11577873794727,4.70047107603409,3.53108639986044,BD,S,U,2,Inference,1,1
Participant_2,0.5,-0.5,3.99093614815808,3.8196876940367,4.16218460227947,CE,S,U,2,Inference,1,1
Participant_2,1,-2,4.9981636758298,0,4.9981636758298,BE,S,U,2,Inference,2,1
Participant_2,0.5,-1.5,3.21119549655418,3.7535682213545,2.66882277175387,AF,S,U,2,Anchor,3,1
Participant_2,1,2,1.47890857122343,0,1.47890857122343,AB,O,C,2,Premise,0,1
Participant_2,1,2,1.82416779133075,0,1.82416779133075,BC,O,C,2,Premise,0,1
Participant_2,1,2,3.30496939032082,0,3.30496939032082,CD,O,C,2,Premise,0,1
Participant_2,1,2,1.79826476731,0,1.79826476731,DE,O,C,2,Premise,0,1
Participant_2,0,2,1.94502701759609,1.94502701759609,0,EF,O,C,2,Premise,0,1
Participant_2,0,1,3.89782140163084,3.89782140163084,0,BD,O,C,2,Inference,1,1
Participant_2,0,1.5,3.18884247689516,3.18884247689516,0,CE,O,C,2,Inference,1,1
Participant_2,1,0.5,3.03097145320282,0,3.03097145320282,BE,O,C,2,Inference,2,1
Participant_2,1,2,1.98485269893717,0,1.98485269893717,AF,O,C,2,Anchor,3,1
Participant_2,1,-2,1.10766370918509,0,1.10766370918509,AB,F,D,2,Premise,0,2
Participant_2,1,2,1.62148424871566,0,1.62148424871566,BC,F,D,2,Premise,0,2
Participant_2,1,-2,1.65069198914171,0,1.65069198914171,CD,F,D,2,Premise,0,2
Participant_2,0,-2,0.809772005357445,0.809772005357445,0,DE,F,D,2,Premise,0,2
Participant_2,0.5,-2,1.22165718185715,1.39700317642792,1.04631118728639,EF,F,D,2,Premise,0,2
Participant_2,0.5,0,1.79172512354194,2.27547890164351,1.30797134544036,BD,F,D,2,Inference,1,2
Participant_2,0,-2,0.965298938283013,0.965298938283013,0,CE,F,D,2,Inference,1,2
Participant_2,0.5,-2,1.93625335474917,2.59360147378038,1.27890523571796,BE,F,D,2,Inference,2,2
Participant_2,1,0,0.892366823520888,0,0.892366823520888,AF,F,D,2,Anchor,3,2
Participant_2,0.5,0,4.41893335659643,3.62097519923236,5.21689151396049,AB,S,U,2,Premise,0,2
Participant_2,1,1,3.76382926316114,0,3.76382926316114,BC,S,U,2,Premise,0,2
Participant_2,0,-1,2.44105109481552,2.44105109481552,0,CD,S,U,2,Premise,0,2
Participant_2,1,2,3.11891462644894,0,3.11891462644894,DE,S,U,2,Premise,0,2
Participant_2,0,0.5,2.33579510758295,2.33579510758295,0,EF,S,U,2,Premise,0,2
Participant_2,0,-2,4.78975050417421,4.78975050417421,0,BD,S,U,2,Inference,1,2
Participant_2,0,-0.5,4.27067012875045,4.27067012875045,0,CE,S,U,2,Inference,1,2
Participant_2,0.5,-2,2.31299769593511,2.97033144663419,1.65566394523603,BE,S,U,2,Inference,2,2
Participant_2,0.5,-2,2.47368978770805,3.55531346056159,1.39206611485452,AF,S,U,2,Anchor,3,2
Participant_2,1,2,1.71525378066735,0,1.71525378066735,AB,O,C,2,Premise,0,2
Participant_2,1,2,1.37908022147758,0,1.37908022147758,BC,O,C,2,Premise,0,2
Participant_2,0.5,0.5,2.46676604763093,1.01503697279759,3.91849512246426,CD,O,C,2,Premise,0,2
Participant_2,1,2,1.56468238288539,0,1.56468238288539,DE,O,C,2,Premise,0,2
Participant_2,0,2,1.47783222919543,1.47783222919543,0,EF,O,C,2,Premise,0,2
Participant_2,0,1.5,2.25157461526214,2.25157461526214,0,BD,O,C,2,Inference,1,2
Participant_2,0,2,2.23557778655845,2.23557778655845,0,CE,O,C,2,Inference,1,2
Participant_2,0.5,-2,3.8162043997886,4.09948222688627,3.53292657269094,BE,O,C,2,Inference,2,2
Participant_2,1,2,1.2652945764678,0,1.2652945764678,AF,O,C,2,Anchor,3,2
Participant_2,0.5,-2,1.4983019710271,0.90837879028868,2.08822515176553,AB,F,D,2,Premise,0,3
Participant_2,1,2,1.38817614548952,0,1.38817614548952,BC,F,D,2,Premise,0,3
Participant_2,1,-2,1.0584208689761,0,1.0584208689761,CD,F,D,2,Premise,0,3
Participant_2,0.5,-2,0.558533763014793,0.603658793162595,0.513408732866992,DE,F,D,2,Premise,0,3
Participant_2,1,-2,0.797693112950583,0,0.797693112950583,EF,F,D,2,Premise,0,3
Participant_2,1,-0.5,1.1124142390172,0,1.1124142390172,BD,F,D,2,Inference,1,3
Participant_2,0.5,-2,1.11716220307608,1.20670077435079,1.02762363180136,CE,F,D,2,Inference,1,3
Participant_2,1,-2,1.51150877751138,0,1.51150877751138,BE,F,D,2,Inference,2,3
Participant_2,0.5,-2,0.87056878069302,0.8375583072052,0.903579254180841,AF,F,D,2,Anchor,3,3
Participant_2,0.5,-1.5,1.80595310792137,2.81166041473125,0.800245801111487,AB,S,U,2,Premise,0,3
Participant_2,1,1.5,3.32256495255865,0,3.32256495255865,BC,S,U,2,Premise,0,3
Participant_2,0,-2,2.66751910218431,2.66751910218431,0,CD,S,U,2,Premise,0,3
Participant_2,1,2,2.51905907950299,0,2.51905907950299,DE,S,U,2,Premise,0,3
Participant_2,0,2,2.30073919937604,2.30073919937604,0,EF,S,U,2,Premise,0,3
Participant_2,0.5,-1.5,2.66349519943765,1.95299861961394,3.37399177926136,BD,S,U,2,Inference,1,3
Participant_2,0.5,-1.5,1.13600190893567,1.09850671976119,1.17349709811015,CE,S,U,2,Inference,1,3
Participant_2,1,0,3.55520903357547,0,3.55520903357547,BE,S,U,2,Inference,2,3
Participant_2,0.5,-2,1.42812087872608,1.99333052808743,0.862911229364727,AF,S,U,2,Anchor,3,3
Participant_2,1,0,0.962867867790919,0,0.962867867790919,AB,O,C,2,Premise,0,3
Participant_2,1,2,1.42926624006395,0,1.42926624006395,BC,O,C,2,Premise,0,3
Participant_2,0.5,0.5,1.43720089494195,1.03515058525318,1.83925120463073,CD,O,C,2,Premise,0,3
Participant_2,1,2,1.36609689387456,0,1.36609689387456,DE,O,C,2,Premise,0,3
Participant_2,0,2,1.25419093460869,1.25419093460869,0,EF,O,C,2,Premise,0,3
Participant_2,0,0,2.27881569021861,2.27881569021861,0,BD,O,C,2,Inference,1,3
Participant_2,0.5,0,1.86117522694281,1.85851503286767,1.86383542101794,CE,O,C,2,Inference,1,3
Participant_2,1,2,2.05383172630377,0,2.05383172630377,BE,O,C,2,Inference,2,3
Participant_2,1,2,1.08542845853458,0,1.08542845853458,AF,O,C,2,Anchor,3,3
