ID,acc,Confidence,RT,RT_hits,RT_fails,Pair,category,condition,session,PairType,Distance,Block
Participant_2,0.5,-2,2.11383549201537,2.28176444024803,1.94590654378271,AB,F,D,3,Premise,0,1
Participant_2,1,2,2.10760139989338,2.10760139989338,0,BC,F,D,3,Premise,0,1
Participant_2,1,0,2.67171194425055,2.67171194425055,0,CD,F,D,3,Premise,0,1
Participant_2,0,-1.5,2.04240578430961,0,2.04240578430961,DE,F,D,3,Premise,0,1
Participant_2,0.5,-2,2.28507866702262,1.49184798226543,3.07830935177981,EF,F,D,3,Premise,0,1
Participant_2,1,-0.5,2.54358630280376,2.54358630280376,0,BD,F,D,3,Inference,1,1
Participant_2,1,-1.5,1.50032919044315,1.50032919044315,0,CE,F,D,3,Inference,1,1
Participant_2,0,-1.5,4.17737822775962,0,4.17737822775962,BE,F,D,3,Inference,2,1
Participant_2,1,-2,1.64322709265548,1.64322709265548,0,AF,F,D,3,Anchor,3,1
Participant_2,1,0,3.79260052752579,3.79260052752579,0,AB,S,U,3,Premise,0,1
Participant_2,1,0,3.50980464099518,3.50980464099518,0,BC,S,U,3,Premise,0,1
Participant_2,0.5,2,2.74578749127636,4.17282626544602,1.3187487171067,CD,S,U,3,Premise,0,1
Participant_2,1,1.5,2.73201409130093,2.73201409130093,0,DE,S,U,3,Premise,0,1
Participant_2,0,1,3.42742928691655,0,3.42742928691655,EF,S,U,3,Premise,0,1
Participant_2,0.5,-1.5,3.90240747772896,2.93170747978138,4.87310747567653,BD,S,U,3,Inference,1,1
Participant_2,0.5,0,4.73633179728211,4.48899482737374,4.98366876719047,CE,S,U,3,Inference,1,1
Participant_2,0.5,0,4.48352995812638,3.75177090603074,5.21528901022202,BE,S,U,3,Inference,2,1
Participant_2,0.5,-0.5,4.65202594523589,6.26740988956863,3.03664200090316,AF,S,U,3,Anchor,3,1
Participant_2,1,1.5,2.48089284248124,2.48089284248124,0,AB,O,C,3,Premise,0,1
Participant_2,0.5,0.5,4.92278854838059,7.3617687507699,2.48380834599129,BC,O,C,3,Premise,0,1
Participant_2,1,2,2.09499774210758,2.09499774210758,0,CD,O,C,3,Premise,0,1
Participant_2,1,1,2.19869760663414,2.19869760663414,0,DE,O,C,3,Premise,0,1
Participant_2,0,1.5,4.16371515661581,0,4.16371515661581,EF,O,C,3,Premise,0,1
Participant_2,0.5,-1.5,3.76274503263687,5.13192608481472,2.39356398045902,BD,O,C,3,Inference,1,1
Participant_2,0.5,1.5,5.03054466521598,2.91463422143761,7.14645510899436,CE,O,C,3,Inference,1,1
Participant_2,1,0,1.8733150478264,1.8733150478264,0,BE,O,C,3,Inference,2,1
Participant_2,1,2,0.902118826717128,0.902118826717128,0,AF,O,C,3,Anchor,3,1
Participant_2,0,-2,1.57041853113833,0,1.57041853113833,AB,F,D,3,Premise,0,2
Participant_2,1,2,1.8288789564433,1.8288789564433,0,BC,F,D,3,Premise,0,2
Participant_2,1,-2,1.55209958331625,1.55209958331625,0,CD,F,D,3,Premise,0,2
Participant_2,0,-2,1.18251621577247,0,1.18251621577247,DE,F,D,3,Premise,0,2
Participant_2,1,-2,1.2504230982388,1.2504230982388,0,EF,F,D,3,Premise,0,2
Participant_2,1,-1.5,2.58704200706097,2.58704200706097,0,BD,F,D,3,Inference,1,2
Participant_2,1,-1,2.30823463606885,2.30823463606885,0,CE,F,D,3,Inference,1,2
Participant_2,1,-1.5,1.57838760827622,1.57838760827622,0,BE,F,D,3,Inference,2,2
Participant_2,0,-2,1.49755762757104,0,1.49755762757104,AF,F,D,3,Anchor,3,2
Participant_2,0.5,-1.5,1.94544547189935,1.30390718009767,2.58698376370103,AB,S,U,3,Premise,0,2
Participant_2,0.5,1,3.42463925037964,3.75814791247558,3.0911305882837,BC,S,U,3,Premise,0,2
Participant_2,0,1.5,3.05030635494063,0,3.05030635494063,CD,S,U,3,Premise,0,2
Participant_2,1,2,1.90660587462548,1.90660587462548,0,DE,S,U,3,Premise,0,2
Participant_2,0.5,0,3.07742364218552,1.81302547313089,4.34182181124015,EF,S,U,3,Premise,0,2
Participant_2,0,-1,3.17011012356829,0,3.17011012356829,BD,S,U,3,Inference,1,2
Participant_2,0,0,2.73179753889758,0,2.73179753889758,CE,S,U,3,Inference,1,2
Participant_2,0,-2,2.98293982716859,0,2.98293982716859,BE,S,U,3,Inference,2,2
Participant_2,0.5,0,3.35008851964358,2.72530532862584,3.97487171066132,AF,S,U,3,Anchor,3,2
Participant_2,1,2,0.776672123239905,0.776672123239905,0,AB,O,C,3,Premise,0,2
Participant_2,1,1.5,2.12675653762471,2.12675653762471,0,BC,O,C,3,Premise,0,2
Participant_2,1,2,2.54016354324881,2.54016354324881,0,CD,O,C,3,Premise,0,2
Participant_2,1,0,2.01579985836861,2.01579985836861,0,DE,O,C,3,Premise,0,2
Participant_2,0,2,2.96018822611745,0,2.96018822611745,EF,O,C,3,Premise,0,2
Participant_2,0,-0.5,2.80192151771439,0,2.80192151771439,BD,O,C,3,Inference,1,2
Participant_2,0,1.5,2.12436984276883,0,2.12436984276883,CE,O,C,3,Inference,1,2
Participant_2,1,0,1.70839166221936,1.70839166221936,0,BE,O,C,3,Inference,2,2
Participant_2,0.5,0,0.802759503674224,0.841953179522989,0.76356582782546,AF,O,C,3,Anchor,3,2
Participant_2,1,-1.5,1.6024736750278,1.6024736750278,0,AB,F,D,3,Premise,0,3
Participant_2,1,2,1.27398446159532,1.27398446159532,0,BC,F,D,3,Premise,0,3
Participant_2,0.5,-2,1.86102775154995,2.18667740876072,1.53537809433919,CD,F,D,3,Premise,0,3
Participant_2,0.5,-2,1.39900242210274,1.35142914323251,1.44657570097297,DE,F,D,3,Premise,0,3
Participant_2,0.5,-2,0.951524847079099,0.778888193275634,1.12416150088256,EF,F,D,3,Premise,0,3
Participant_2,1,-2,1.25918295086035,1.25918295086035,0,BD,F,D,3,Inference,1,3
Participant_2,0.5,-1.5,1.55988033170479,1.3033791411799,1.81638152222968,CE,F,D,3,Inference,1,3
Participant_2,1,-2,1.43114095406213,1.43114095406213,0,BE,F,D,3,Inference,2,3
